Wall time,Step,Value
1492275153.503267,50,nan
1492275302.596815,100,0.53413325548172
1492275443.959877,150,0.6290478110313416
1492275591.59367,200,0.6422861814498901
1492275761.792096,250,0.7262877821922302
1492275914.220205,300,0.7250334024429321
1492276073.256309,350,0.7818812131881714
1492276230.973209,400,0.789633572101593
1492276392.503277,450,0.8203858733177185
1492276542.973521,500,0.8268421292304993
1492276698.258933,550,0.8493723273277283
1492276847.450717,600,0.8406817317008972
1492277011.891374,650,0.86906498670578
1492277167.108789,700,0.8613409399986267
1492277321.739036,750,0.8820327520370483
1492277474.341101,800,0.8676753640174866
1492277633.740395,850,0.8877678513526917
1492277778.550453,900,0.8886802792549133
1492277942.50949,950,0.8983140587806702
1492278105.95919,1000,0.8977006077766418
