Wall time,Step,Value
1492274590.739442,50,nan
1492274594.459369,100,0.9083375930786133
1492274599.631623,150,0.9282528162002563
1492274603.634663,200,0.972855269908905
1492274609.125566,250,0.9734346866607666
1492274613.407947,300,0.9744487404823303
1492274620.847982,350,0.991091251373291
1492274626.017642,400,0.9866756796836853
1492274632.889483,450,0.9886605739593506
1492274637.481815,500,0.9936404824256897
1492274644.113353,550,0.9931163787841797
1492274649.25182,600,0.9914160966873169
1492274656.247376,650,0.9936918616294861
1492274661.490384,700,0.995821475982666
1492274672.158622,750,0.9935685992240906
1492274677.677492,800,0.9947056770324707
1492274686.737406,850,0.9913011193275452
1492274692.508738,900,0.9944078922271729
1492274701.055307,950,0.9947088360786438
1492274706.782703,1000,0.9935269355773926
1492274716.083,1050,0.9933521151542664
1492274722.845123,1100,0.9976580142974854
1492274732.170265,1150,0.9953179359436035
1492274739.597731,1200,0.9936445355415344
1492274749.41889,1250,0.9947090744972229
1492274756.208541,1300,0.9911636114120483
1492274766.385782,1350,0.992638885974884
1492274773.537963,1400,0.9955037236213684
1492274785.494365,1450,0.993190348148346
1492274795.414399,1500,0.9964282512664795
