Wall time,Step,Value
1492274590.741134,50,nan
1492274594.461322,100,0.8409073352813721
1492274599.631762,150,0.8687072992324829
1492274603.636378,200,0.9478173851966858
1492274609.126521,250,0.954558253288269
1492274613.408352,300,0.9523165822029114
1492274620.848169,350,0.9823371767997742
1492274626.017939,400,0.9769166111946106
1492274632.891561,450,0.9783878326416016
1492274637.482316,500,0.9889323115348816
1492274644.113789,550,0.9878135323524475
1492274649.251947,600,0.9843151569366455
1492274656.247504,650,0.9905392527580261
1492274661.492817,700,0.9927463531494141
1492274672.159345,750,0.9893783330917358
1492274677.677657,800,0.9912224411964417
1492274686.73757,850,0.986007571220398
1492274692.508993,900,0.9907423853874207
1492274701.05547,950,0.99266517162323
1492274706.78312,1000,0.9890164732933044
1492274716.083261,1050,0.9882083535194397
1492274722.845311,1100,0.9946741461753845
1492274732.170552,1150,0.9923657178878784
1492274739.598424,1200,0.9898214936256409
1492274749.419075,1250,0.9908570051193237
1492274756.210346,1300,0.9877545237541199
1492274766.385959,1350,0.9892660975456238
1492274773.538123,1400,0.9922447800636292
1492274785.494624,1450,0.9905545711517334
1492274795.419897,1500,0.9934671521186829
