Wall time,Step,Value
1492279148.926451,50,nan
1492279332.110194,100,0.7076407074928284
1492279545.943943,150,0.8148468732833862
1492279733.310927,200,0.819349467754364
1492279954.901326,250,0.8802102208137512
1492280148.829129,300,0.8837458491325378
1492280351.63989,350,0.9071695804595947
1492280560.652723,400,0.913783073425293
1492280765.969758,450,0.9273228645324707
1492280954.774039,500,0.9292358756065369
1492281155.455359,550,0.9438031315803528
1492281335.318525,600,0.9372353553771973
1492281534.634129,650,0.9518799781799316
1492281738.00089,700,0.9493356943130493
1492281951.043558,750,0.954294741153717
1492282134.410059,800,0.9528651237487793
1492282337.780879,850,0.9568584561347961
1492282509.123433,900,0.9545775651931763
1492282704.310646,950,0.9643188714981079
1492282887.726612,1000,0.9600274562835693
