Wall time,Step,Value
1492279148.926279,50,0.04850099980831146
1492279332.109866,100,0.02729756385087967
1492279545.943348,150,0.022113213315606117
1492279733.310088,200,0.022307241335511208
1492279954.900843,250,0.01818637177348137
1492280148.828994,300,0.017710646614432335
1492280351.639698,350,0.016029376536607742
1492280560.648572,400,0.015182017348706722
1492280765.969529,450,0.014162842184305191
1492280954.773228,500,0.013897156342864037
1492281155.455144,550,0.012404930777847767
1492281335.317839,600,0.013273630291223526
1492281534.633936,650,0.012066980823874474
1492281737.999444,700,0.012074463069438934
1492281951.043312,750,0.011331425048410892
1492282134.407039,800,0.011991594918072224
1492282337.780497,850,0.012523737736046314
1492282509.123215,900,0.012099180370569229
1492282704.310458,950,0.01130079384893179
1492282887.72649,1000,0.011246617883443832
