Wall time,Step,Value
1492275153.503106,50,nan
1492275302.596649,100,0.6262333393096924
1492275443.959325,150,0.7010358572006226
1492275591.593509,200,0.7067006230354309
1492275761.791859,250,0.7759873270988464
1492275914.219377,300,0.7752470374107361
1492276073.256171,350,0.8238611221313477
1492276230.970553,400,0.8262522220611572
1492276392.503068,450,0.8548986315727234
1492276542.972988,500,0.860709011554718
1492276698.258756,550,0.8778794407844543
1492276847.450367,600,0.8696419596672058
1492277011.891246,650,0.895474374294281
1492277167.108596,700,0.8865894079208374
1492277321.738401,750,0.9069665670394897
1492277474.340428,800,0.8932176828384399
1492277633.738646,850,0.9101757407188416
1492277778.55028,900,0.9121364951133728
1492277942.509065,950,0.9221177697181702
1492278105.959021,1000,0.9214435815811157
