Wall time,Step,Value
1492275153.502937,50,0.03734279051423073
1492275302.596317,100,0.02687951549887657
1492275443.959137,150,0.024748899042606354
1492275591.593384,200,0.025170911103487015
1492275761.791349,250,0.022799251601099968
1492275914.219171,300,0.02350538782775402
1492276073.256003,350,0.02087138593196869
1492276230.970351,400,0.021241772919893265
1492276392.502849,450,0.019351810216903687
1492276542.972839,500,0.018711376935243607
1492276698.258525,550,0.017712701112031937
1492276847.449867,600,0.01832514815032482
1492277011.891067,650,0.016139119863510132
1492277167.108449,700,0.017211290076375008
1492277321.736932,750,0.015453923493623734
1492277474.33936,800,0.016623878851532936
1492277633.738256,850,0.015020947903394699
1492277778.545505,900,0.014831196516752243
1492277942.508766,950,0.014244874939322472
1492278105.958362,1000,0.014249053783714771
